x,y
1272,151
1637,257
1631,243
1569,136
1577,132
1588,133
1599,127
1596,147
1605,143
1624,137
1621,139
1626,152
1437,925
1439,931
1437,931
1443,934
1456,936
1456,938
1468,940
1496,942
1652,841
958,145
297,756
1009,161
1070,169
1633,650
1445,934
502,894
482,895
425,903
408,906
320,941
266,962
288,942
275,932
269,954
269,934
269,940
292,942
281,949
288,945
275,950
290,948
286,949
282,948
269,953
279,947
278,949
269,966
287,950
260,963
274,959
265,965
270,961
271,957
284,959
279,959
280,962
283,960
271,966
276,965
278,942
275,856
678,163
1649,909
1638,911
1631,931
1630,919
1630,916
1651,943
1655,938
1651,936
1658,946
1655,940
1659,942
1648,940
1649,939
1661,945
1649,943
1650,941
1652,936
1655,941
1645,927
1651,924
1647,937
1645,935
1649,942
1650,930
1648,930
1651,937
1653,930
1656,934
1660,934
1650,932
1650,929
1648,934
1653,931
1642,927
1662,941
1658,940
1658,941
1641,921
1658,944
1663,937
1661,948
1652,926
1662,940
1653,937
1654,939
1648,927
1654,938
1657,940
1659,941
1666,940
1656,925
1666,937
1664,921
1661,923
1664,939
1647,918
1642,925
1648,931
1657,934
1651,933
1653,938
1654,935
1653,939
1649,939
1648,931
1642,925
1648,921
1653,926
1657,921
1664,920
1682,930
1672,933
1618,956
863,125
522,935
1620,740
1563,930
1596,922
1630,941
1633,943
1648,956
1665,953
1651,945
1653,938
1646,932
1651,929
1649,934
1645,928
1651,921
1664,934
1666,924
1663,921
1670,934
1685,932
1688,937
1670,940
1662,934
1114,885
445,159
457,157
472,155
1076,936
1083,938
1096,934
1300,148
1267,151
1192,140
780,152
726,159
710,162
301,380
301,391
656,969
1636,810
1636,798
1638,774
1642,145
1631,148
1623,143
1607,138
955,918
922,887
869,883
431,162
439,179
437,167
440,170
443,161
449,162
451,161
445,148
441,154
438,151
421,145
409,140
382,133
1517,137
1454,167
1405,165
615,931
612,916
620,914
619,901
635,892
1285,147
1297,155
1644,524
1089,939
1034,939
1012,938
282,870
323,930
478,940
984,934
1635,506
1014,162
999,161
984,162
913,165
897,167
1645,812
1645,806
1383,142
1416,154
1621,141
1619,129
1626,149
1632,156
1631,163
1629,645
1621,663
1645,636
1058,904
1038,882
682,166
1625,653
598,948
558,950
543,945
481,943
463,941
396,933
381,931
286,902
1572,931
1585,927
1609,929
1631,935
1641,936
1660,943
1635,933
1661,945
1657,942
1660,942
1634,925
1636,924
1651,927
1648,918
1654,935
1658,934
1658,929
1667,938
1667,935
1665,943
1659,941
1657,943
1646,939
1620,938
1607,938
1610,119
1615,122
1614,122
1614,124
1619,125
1642,171
910,151
920,157
911,148
919,156
916,150
919,143
926,146
941,142
972,133
1645,928
1645,935
1650,940
1651,943
1638,944
1641,944
1649,949
1637,946
1644,947
1655,950
1656,942
1652,942
1668,936
1666,936
1668,931
1677,898
1683,791
1508,141
1500,144
1490,142
1480,149
1470,147
1409,128
1319,923
1321,929
1322,919
1321,922
1324,930
1347,932
1633,776
1635,777
1634,779
1643,787
1681,889
1679,926
1687,907
1695,936
1681,932
1676,935
1665,933
1618,926
1486,952
296,942
298,954
291,962
284,958
255,887
1669,940
1678,936
1675,933
1665,940
1654,933
1643,935
1629,935
1615,936
1600,936
1242,147
1645,546
1357,922
970,144
1429,925
1434,913
1432,913
1433,913
1425,912
1423,921
1393,928
1671,130
1676,130
1671,131
1669,123
1677,128
1665,121
1649,126
1639,124
1634,126
1621,128
1586,122
1551,128
1517,131
1439,932
1581,153
1577,172
1584,172
1656,191
1675,286
1290,910
1286,907
1241,924
1243,917
1234,912
1660,223
1647,190
1639,182
1644,158
1638,129
1628,131
1623,130
1637,122
1622,124
1622,122
1648,110
1630,112
1634,112
1637,118
1635,117
1641,128
855,941
292,877
295,871
316,811
1640,715
1645,698
1645,692
1656,673
1643,661
1051,133
1034,133
995,134
734,928
733,941
730,935
727,938
722,935
715,937
711,936
696,947
692,943
680,947
644,950
289,765
300,754
280,390
263,273
254,244
260,236
262,158
252,159
258,159
263,168
296,165
1576,949
1638,920
1641,916
1636,917
1637,915
1648,885
1622,291
1610,296
1602,311
1319,146
1237,174
881,127
860,127
842,128
580,192
517,191
467,194
278,171
292,181
298,196
292,223
294,220
288,253
656,938
