time_step,x,y
0,780,186
1,803,188
2,828,189
3,852,190
4,878,192
5,902,192
6,925,194
7,951,193
8,976,192
9,998,191
10,1016,191
11,1038,188
12,1071,184
13,1097,181
14,1122,176
15,1142,173
16,1168,167
17,1191,159
18,1214,151
19,1235,144
20,1255,143
21,1272,151
22,1287,165
23,1311,172
24,1327,178
25,1343,185
26,1357,190
27,1376,194
28,1392,199
29,1409,206
30,1429,213
31,1451,220
32,1469,227
33,1487,234
34,1503,240
35,1520,246
36,1539,249
37,1556,255
38,1571,259
39,1586,261
40,1604,264
41,1615,269
42,1637,257
43,1639,249
44,1631,243
45,1618,243
46,1613,238
47,1607,234
48,1606,224
49,1601,213
50,1595,192
51,1586,173
52,1578,153
53,1572,135
54,1569,136
55,1577,132
56,1581,129
57,1588,133
58,1593,135
59,1599,127
60,1596,147
61,1605,143
62,1612,138
63,1618,130
64,1619,129
65,1624,137
66,1621,139
67,1620,141
68,1626,152
69,1632,169
70,1635,181
71,1640,198
72,1644,218
73,1643,238
74,1641,265
75,1640,289
76,1639,313
77,1638,337
78,1637,364
79,1635,388
80,1634,412
81,1633,432
82,1630,457
83,1628,477
84,1625,502
85,1621,522
86,1617,538
87,1610,561
88,1605,577
89,1594,602
90,1582,626
91,1571,646
92,1562,666
93,1550,690
94,1540,702
95,1527,725
96,1515,746
97,1504,770
98,1493,792
99,1483,816
100,1477,835
101,1469,862
102,1460,883
103,1452,902
104,1440,923
105,1439,924
106,1434,927
107,1437,925
108,1439,915
109,1439,931
110,1437,939
111,1437,931
112,1443,934
113,1447,939
114,1453,944
115,1456,936
116,1456,938
117,1468,940
118,1475,944
119,1489,948
120,1496,942
121,1508,935
122,1522,933
123,1541,929
124,1560,921
125,1576,914
126,1592,907
127,1607,897
128,1623,887
129,1638,877
130,1649,870
131,1662,845
132,1652,841
133,1641,833
134,1630,818
135,1624,808
136,1618,795
137,1615,783
138,1610,772
139,1601,754
140,1593,740
141,1581,721
142,1573,707
143,1561,690
144,1549,676
145,1537,661
146,1522,644
147,1511,633
148,1491,612
149,1473,597
150,1460,583
151,1440,563
152,1427,547
153,1413,529
154,1399,517
155,1382,498
156,1367,481
157,1354,468
158,1338,448
159,1322,431
160,1305,414
161,1287,397
162,1278,386
163,1265,371
164,1251,356
165,1240,345
166,1227,331
167,1213,316
168,1199,302
169,1183,287
170,1169,275
171,1152,261
172,1131,243
173,1117,230
174,1101,216
175,1082,203
176,1065,191
177,1046,177
178,1024,163
179,1013,154
180,997,144
181,969,141
182,958,145
183,951,149
184,934,157
185,922,161
186,909,165
187,890,173
188,872,182
189,856,191
190,837,201
191,819,214
192,799,230
193,783,244
194,763,262
195,751,277
196,736,299
197,726,314
198,714,332
199,704,351
200,692,372
201,683,392
202,674,414
203,665,436
204,656,454
205,647,474
206,637,494
207,627,512
208,618,529
209,609,546
210,592,569
211,582,584
212,573,595
213,556,611
214,540,624
215,525,639
216,509,653
217,496,665
218,480,677
219,465,690
220,443,708
221,427,716
222,404,729
223,384,739
224,366,747
225,349,751
226,329,755
227,317,758
228,295,759
229,295,765
230,285,767
231,297,756
232,305,741
233,318,727
234,328,723
235,330,708
236,340,694
237,358,680
238,375,669
239,395,652
240,414,640
241,433,630
242,453,622
243,478,609
244,501,597
245,520,591
246,551,583
247,579,572
248,602,565
249,626,557
250,649,550
251,670,544
252,692,534
253,715,526
254,738,519
255,762,509
256,782,499
257,805,487
258,825,473
259,844,458
260,862,445
261,879,433
262,895,420
263,907,407
264,920,390
265,935,372
266,948,351
267,961,330
268,970,314
269,978,289
270,984,274
271,988,253
272,990,235
273,991,216
274,993,194
275,995,174
276,996,160
277,1003,154
278,1009,161
279,1022,168
280,1030,170
281,1040,171
282,1048,175
283,1070,169
284,1087,172
285,1103,171
286,1128,169
287,1145,169
288,1169,171
289,1191,176
290,1207,183
291,1226,194
292,1245,205
293,1262,218
294,1279,232
295,1296,248
296,1313,263
297,1331,279
298,1344,296
299,1354,310
300,1372,330
301,1390,348
302,1410,366
303,1424,381
304,1441,397
305,1457,414
306,1473,430
307,1490,449
308,1506,464
309,1519,479
310,1534,496
311,1547,513
312,1561,531
313,1574,549
314,1591,567
315,1598,580
316,1612,594
317,1628,607
318,1639,623
319,1640,645
320,1633,650
321,1628,669
322,1622,685
323,1616,702
324,1613,722
325,1605,747
326,1600,763
327,1592,787
328,1583,804
329,1570,826
330,1559,846
331,1548,862
332,1535,879
333,1521,895
334,1507,909
335,1491,927
336,1474,935
337,1456,938
338,1445,934
339,1428,925
340,1411,922
341,1395,920
342,1371,915
343,1350,908
